"","거래내역"
"","","","","","","","","","","","","","","","2026-02-24 오전 6:43:34"
"","계좌번호 :","270-24-***411","U.S ETF","상품 :","01","거래구분 :","전체","정렬 :","일자순","20250101","~","20260224"
"","일자","구분","종목번호","수량","","거래대금","미수발생/변제","","세전이자","수수료","","연체료","상대처","변동금액","대출일","처리자"
"","2025/02/05","해외증권_해외주식매수","US88642R1095","2","106.16",".",".",".08",".","","106.","","","","",""
"","01","해외주식매수","타이드워터","53.08",".",".",".",".","신한 SOL(HTS) 고객용","USD","688.","","","","",""
"","2025/02/05","해외증권_해외주식매수","US93627C1018","1","52.2",".",".",".04",".","","52.","","","","",""
"","01","해외주식매수","워리어 멧 콜","52.2",".",".",".",".","신한 SOL(HTS) 고객용","USD","636.","","","","",""
"","2025/02/05","해외증권_해외주식매수","US88642R1095","1","52.71",".",".",".04",".","","52.","","","","",""
"","01","해외주식매수","타이드워터","52.71",".",".",".",".","신한 SOL(HTS) 고객용","USD","583.","","","","",""
"","2025/02/05","환전출금","JPY","0","50000",".",".","0",".","","50000.","","","","",""
"","01","","","937.15",".",".",".",".","","","100000.","","","","",""
"","2025/02/05","환전입금","KRW","0","468575",".",".","0",".","","468575.","","","","",""
"","01","","","0",".",".",".",".","","","4198033.","","","","",""
"","2025/02/06","해외증권_해외주식매수","US93627C1018","1","52.52",".",".",".04",".","","52.","","","","",""
"","01","해외주식매수","워리어 멧 콜","52.52",".",".",".",".","신한 SOL증권(Android)","USD","530.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/02/06","환전출금","JPY","0","100000",".",".","0",".","","100000.","","","","",""
"","01","","","942.52",".",".",".",".","","",".","","","","",""
"","2025/02/06","환전입금","KRW","0","942520",".",".","0",".","","942520.","","","","",""
"","01","","","0",".",".",".",".","","","5140794.","","","","",""
"","2025/02/07","해외증권_해외주식매수","US88642R1095","3","160.68",".",".",".13",".","","160.","","","","",""
"","01","해외주식매수","타이드워터","53.56",".",".",".",".","신한 SOL증권(Android)","USD","370.","","","","",""
"","2025/02/07","해외증권_해외주식매수","US93627C1018","1","53.65",".",".",".04",".","","53.","","","","",""
"","01","해외주식매수","워리어 멧 콜","53.65",".",".",".",".","신한 SOL증권(Android)","USD","316.","","","","",""
"","2025/02/07","해외증권_해외주식매수","BMG0450A1053","1","92.74",".",".",".07",".","","92.","","","","",""
"","01","해외주식매수","아치 캐피털 그룹","92.74",".",".",".",".","신한 SOL증권(Android)","USD","223.","","","","",""
"","2025/02/07","외화RP매도입금","USD","0","3002.3",".",".","0",".","","3002.","","","","",""
"","01","","","1447.1",".",".",".",".","","","3225.","","","","",""
"","2025/02/07","환전출금","USD","0",".34",".",".","0",".","",".","","","","",""
"","01","","","1447.1",".",".",".",".","","","3225.","","","","",""
"","2025/02/07","환전입금","KRW","0","500",".",".","0",".","","500.","","","","",""
"","01","","","0",".",".",".",".","","","5141598.","","","","",""
