"","거래내역"
"","","","","","","","","","","","","","","","2026-02-24 오전 6:43:34"
"","계좌번호 :","270-24-***411","U.S ETF","상품 :","01","거래구분 :","전체","정렬 :","일자순","20250101","~","20260224"
"","일자","구분","종목번호","수량","","거래대금","미수발생/변제","","세전이자","수수료","","연체료","상대처","변동금액","대출일","처리자"
"","01","해외주식매수","ADMA 바이오로직스","17.88",".",".",".",".","신한 SOL증권(Android)","USD","556.","","","","",""
"","2025/07/09","해외증권_해외주식매수","US88642R1095","10","477",".",".",".38",".","","477.","","","","",""
"","01","해외주식매수","타이드워터","47.7",".",".",".",".","신한 SOL증권(Android)","USD","79.","","","","",""
"","2025/07/11","해외증권_해외주식매수","CH1430134226","2","101.22","22.",".",".08",".","","101.","","","","",""
"","01","해외주식매수","앰라이즈","50.61",".",".",".",".","신한 SOL증권(Android)","USD","-22.","","","","",""
"","2025/07/11","환전출금","KRW","0","30906",".",".","0",".","","30906.","","","","",""
"","01","","","0",".",".",".",".","","","1456333.","","","","",""
"","2025/07/11","환전입금","USD","0","22.06","22.",".","0",".","","22.","","","","",""
"","01","","","1400.98",".",".",".",".","","",".","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/07/11","기타가환전차액입금","","0","631",".",".","0",".","","631.","","","","",""
"","01","가환전차액입금","USD","1372.36",".",".",".",".","","USD","1456964.","","","","",""
"","2025/07/15","해외증권_해외주식매수","US88642R1095","10","527.95","528.",".",".42",".","","528.","","","","",""
"","01","해외주식매수","타이드워터","52.795",".",".",".",".","신한 SOL증권(Android)","USD","-528.","","","","",""
"","2025/07/15","환전출금","KRW","0","745356",".",".","0",".","","745356.","","","","",""
"","01","","","0",".",".",".",".","","","711859.","","","","",""
"","2025/07/15","환전입금","USD","0","528.37","528.",".","0",".","","528.","","","","",""
"","01","","","1410.67",".",".",".",".","","",".","","","","",""
"","2025/07/15","기타가환전차액입금","","0","14377",".",".","0",".","","14377.","","","","",""
"","01","가환전차액입금","USD","1383.46",".",".",".",".","","USD","726236.","","","","",""
"","2025/07/16","해외증권_해외주식매수","US88642R1095","9","457.695","458.",".",".37",".","","458.","","","","",""
"","01","해외주식매수","타이드워터","50.855",".",".",".",".","신한 SOL증권(Android)","USD","-458.","","","","",""
"","2025/07/16","환전출금","KRW","0","648408",".",".","0",".","","648408.","","","","",""
"","01","","대한민국원","0",".",".",".",".","","","77830.","","","","",""
"","2025/07/16","환전입금","USD","0","458.07","458.",".","0",".","","458.","","","","",""
"","01","","미국달러","1415.52",".",".",".",".","","",".","","","","",""
"","2025/07/16","기타가환전차액입금","","0","12620",".",".","0",".","","12620.","","","","",""
"","01","가환전차액입금","USD","1387.97",".",".",".",".","","USD","90450.","","","","",""
"","2025/07/18","해외증권_해외주식매수","US88642R1095","1","47.78","47.",".",".04",".","","47.","","","","",""
"","01","해외주식매수","타이드워터","47.78",".",".",".",".","신한 SOL증권(Android)","USD","-47.","","","","",""
"","2025/07/18","환전출금","KRW","0","67898",".",".","0",".","","67898.","","","","",""
"","01","","","0",".",".",".",".","","","22558.","","","","",""
"","2025/07/18","환전입금","USD","0","47.82","47.",".","0",".","","47.","","","","",""
"","01","","","1419.86",".",".",".",".","","",".","","","","",""
"","2025/07/18","기타가환전차액입금","","0","1377",".",".","0",".","","1377.","","","","",""
"","01","가환전차액입금","USD","1391.07",".",".",".",".","","USD","23935.","","","","",""
"","2025/07/24","장내_매도","A466940","177","3533805",".",".","140",".","","3533665.","","","","",""
"","01","매도","TIGER 은행고배당플러스TOP10","19965",".",".",".",".","신한 SOL증권(Android)","","3557606.","","","","",""
"","2025/07/24","해외증권_해외주식매수","US33817P4054","8","104.84","104.",".",".08",".","","104.","","","","",""
"","01","해외주식매수","핏라이프 브랜즈","13.105",".",".",".",".","신한 SOL증권(Android)","USD","-104.","","","","",""
"","2025/07/24","환전출금","KRW","0","147277",".",".","0",".","","147277.","","","","",""
"","01","","","0",".",".",".",".","","","3410329.","","","","",""
"","2025/07/24","환전입금","USD","0","104.92","104.",".","0",".","","104.","","","","",""
"","01","","","1403.7",".",".",".",".","","",".","","","","",""
"","2025/07/24","기타가환전차액입금","","0","2984",".",".","0",".","","2984.","","","","",""
"","01","가환전차액입금","USD","1375.26",".",".",".",".","","USD","3413313.","","","","",""
"","2025/07/27","은행이체출금","","0","3264714",".",".","0",".","기업은행","3264714.","","","","",""
"","01","출금","현민재　　　　　　　","0",".",".",".",".","28611106301011","현민재","149069.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/07/28","해외증권_해외주식매수","US6837121036","41","102.5","102.",".",".08",".","","102.","","","","",""
"","01","해외주식매수","오픈도어 테크놀로지","2.5",".",".",".",".","신한 SOL증권(Android)","USD","-102.","","","","",""
"","2025/07/28","환전출금","KRW","0","144863",".",".","0",".","","144863.","","","","",""
"","01","","","0",".",".",".",".","","","4213.","","","","",""
"","2025/07/28","환전입금","USD","0","102.58","102.",".","0",".","","102.","","","","",""
"","01","","","1412.19",".",".",".",".","","",".","","","","",""
"","2025/07/28","기타가환전차액입금","","0","3347",".",".","0",".","","3347.","","","","",""
"","01","가환전차액입금","USD","1379.56",".",".",".",".","","USD","7560.","","","","",""
"","2025/08/04","해외증권_해외주식매도","US1999081045","1","707.02",".",".",".57",".","","706.","","","","",""
"","01","해외주식매도","컴포트 시스템스 USA","707.02",".",".",".",".","신한 SOL증권(Android)","USD","706.","","","","",""
"","2025/08/04","해외증권_해외주식매수","US9119221029","1","100.39",".",".",".08",".","","100.","","","","",""
"","01","해외주식매수","유나이티드 스테이츠","100.39",".",".",".",".","신한 SOL증권(Android)","USD","605.","","","","",""
"","2025/08/04","해외증권_해외주식매수","US88642R1095","10","498.4",".",".",".4",".","","498.","","","","",""
"","01","해외주식매수","타이드워터","49.84",".",".",".",".","신한 SOL증권(Android)","USD","107.","","","","",""
"","2025/08/04","은행이체입금","","0","1400000",".",".","0",".","","1400000.","","","","",""
"","01","입금","신한증권오픈뱅킹","0",".",".",".",".","","신한증권오픈뱅킹","1407562.","","","","",""
"","2025/08/05","해외증권_해외주식매수","US88642R1095","1","47.74",".",".",".04",".","","47.","","","","",""
"","01","해외주식매수","타이드워터","47.74",".",".",".",".","신한 SOL증권(Android)","USD","59.","","","","",""
"","2025/08/05","해외증권_해외주식매수","US88642R1095","1","47.82",".",".",".04",".","","47.","","","","",""
"","01","해외주식매수","타이드워터","47.82",".",".",".",".","신한 SOL증권(Android)","USD","11.","","","","",""
"","2025/08/06","해외증권_해외주식매수","US88642R1095","18","856.08","845.",".",".68",".","","856.","","","","",""
"","01","해외주식매수","타이드워터","47.56",".",".",".",".","신한 SOL증권(Android)","USD","-845.","","","","",""
"","2025/08/06","환전출금","KRW","0","1195657",".",".","0",".","","1195657.","","","","",""
"","01","","","0",".",".",".",".","","","211988.","","","","",""
"","2025/08/06","환전입금","USD","0","845.22","845.",".","0",".","","845.","","","","",""
"","01","","","1414.61",".",".",".",".","","",".","","","","",""
"","2025/08/06","기타가환전차액입금","","0","22263",".",".","0",".","","22263.","","","","",""
"","01","가환전차액입금","USD","1388.27",".",".",".",".","","USD","234251.","","","","",""
"","2025/08/06","해외배당금","USD","0","12.15",".",".","0",".","","12.","","","","",""
"","01","","앤테로 미드스트림(미국달러)","0",".",".",".",".","","","12.","","","","",""
"","2025/08/06","외국납부세액","USD","0","1.82",".",".","0",".","","1.","","","","",""
"","01","","앤테로 미드스트림(미국달러)","0",".",".",".",".","","","10.","","","","",""
"","2025/08/08","해외증권_해외주식매수","JP3637270004","11","18843","18890.",".","47",".","","18890.","","","","",""
"","01","해외주식매수","트레져팩토리","1713",".",".",".",".","신한 SOL증권(Android)","JPY","-18890.","","","","",""
"","2025/08/08","환전출금","KRW","0","181212",".",".","0",".","","181212.","","","","",""
"","01","","","0",".",".",".",".","","","53044.","","","","",""
"","2025/08/08","환전입금","JPY","0","18890","18890.",".","0",".","","18890.","","","","",""
"","01","","","959.3",".",".",".",".","","",".","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/08/08","기타가환전차액입금","","0","1904",".",".","0",".","","1904.","","","","",""
"","01","가환전차액입금","JPY","949.22",".",".",".",".","","JPY","54948.","","","","",""
"","2025/08/13","은행이체입금","","0","500000",".",".","0",".","","500000.","","","","",""
"","01","입금","신한증권오픈뱅킹","0",".",".",".",".","","신한증권오픈뱅킹","554960.","","","","",""
"","2025/08/14","해외증권_해외주식매도","US03676B1026","54","984.42",".",".",".79",".","","983.","","","","",""
"","01","해외주식매도","앤테로 미드스트림","18.23",".",".",".",".","신한 SOL증권(Android)","USD","993.","","","","",""
"","2025/08/14","해외증권_해외주식매수","US33817P4054","10","167.9",".",".",".13",".","","168.","","","","",""
"","01","해외주식매수","핏라이프 브랜즈","16.79",".",".",".",".","신한 SOL증권(Android)","USD","825.","","","","",""
"","2025/08/14","해외증권_해외주식매수","US33817P4054","9","151.11",".",".",".12",".","","151.","","","","",""
"","01","해외주식매수","핏라이프 브랜즈","16.79",".",".",".",".","신한 SOL증권(Android)","USD","674.","","","","",""
"","2025/08/14","해외증권_해외주식매수","US33817P4054","3","50.37",".",".",".04",".","","50.","","","","",""
"","01","해외주식매수","핏라이프 브랜즈","16.79",".",".",".",".","신한 SOL증권(Android)","USD","624.","","","","",""
"","2025/08/18","해외증권_해외주식매수","JP3637270004","21","36330","36421.",".","91",".","","36421.","","","","",""
"","01","해외주식매수","트레져팩토리","1730",".",".",".",".","신한 SOL증권(Android)","JPY","-36421.","","","","",""
"","2025/08/18","환전출금","KRW","0","350971",".",".","0",".","","350971.","","","","",""
"","01","","","0",".",".",".",".","","","204059.","","","","",""
"","2025/08/18","환전입금","JPY","0","36421","36421.",".","0",".","","36421.","","","","",""
"","01","","","963.65",".",".",".",".","","",".","","","","",""
"","2025/08/18","기타가환전차액입금","","0","4304",".",".","0",".","","4304.","","","","",""
"","01","가환전차액입금","JPY","951.83",".",".",".",".","","JPY","208363.","","","","",""
"","2025/08/18","해외배당금","USD","0",".96",".",".","0",".","",".","","","","",""
"","01","","워리어 멧 콜(미국달러)","0",".",".",".",".","","","625.","","","","",""
"","2025/08/18","외국납부세액","USD","0",".15",".",".","0",".","",".","","","","",""
"","01","","워리어 멧 콜(미국달러)","0",".",".",".",".","","","625.","","","","",""
"","2025/08/22","해외증권_해외주식매수","CH1430134226","8","404.56",".",".",".32",".","","404.","","","","",""
"","01","해외주식매수","앰라이즈","50.57",".",".",".",".","신한 SOL증권(Android)","USD","220.","","","","",""
"","2025/08/22","해외증권_해외주식매도","BMG4809J1062","2","48.6",".",".",".04",".","","48.","","","","",""
"","01","해외주식매도","인터내셔널 제너럴 인","24.3",".",".",".",".","신한 SOL증권(Android)","USD","268.","","","","",""
"","2025/08/22","해외증권_해외주식매도","BMG4809J1062","20","484.4",".",".",".39",".","","484.","","","","",""
"","01","해외주식매도","인터내셔널 제너럴 인","24.22",".",".",".",".","신한 SOL증권(Android)","USD","752.","","","","",""
"","2025/08/22","해외증권_해외주식매수","CH1430134226","10","492.4",".",".",".39",".","","492.","","","","",""
"","01","해외주식매수","앰라이즈","49.24",".",".",".",".","신한 SOL증권(Android)","USD","260.","","","","",""
"","2025/08/29","해외배당금","USD","0",".34",".",".","0",".","",".","","","","",""
"","01","","아이라디메드(미국달러)","0",".",".",".",".","","","260.","","","","",""
"","2025/08/29","외국납부세액","USD","0",".05",".",".","0",".","",".","","","","",""
"","01","","아이라디메드(미국달러)","0",".",".",".",".","","","260.","","","","",""
"","2025/09/03","해외증권_해외주식매도","US6837121036","41","178.76",".",".",".14",".","","178.","","","","",""
"","01","해외주식매도","오픈도어 테크놀로지","4.36",".",".",".",".","신한 SOL증권(Android)","USD","438.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/09/04","은행이체입금","","0","1000000",".",".","0",".","","1000000.","","","","",""
"","01","입금","신한증권오픈뱅킹","0",".",".",".",".","","신한증권오픈뱅킹","1208522.","","","","",""
"","2025/09/08","예탁금이용료","","0","29",".",".","0",".","","29.","","","","",""
"","01","","","0",".",".","29.",".","","","1208789.","","","","",""
"","2025/09/09","해외증권_해외주식매수","US6837121036","31","203.825",".",".",".16",".","","203.","","","","",""
"","01","해외주식매수","오픈도어 테크놀로지","6.575",".",".",".",".","신한 SOL증권(Android)","USD","234.","","","","",""
"","2025/09/10","해외증권_해외주식매수","US33817P4054","27","511.65","277.",".",".41",".","","512.","","","","",""
"","01","해외주식매수","핏라이프 브랜즈","18.95",".",".",".",".","신한 SOL증권(Android)","USD","-277.","","","","",""
"","2025/09/10","환전출금","KRW","0","392522",".",".","0",".","","392522.","","","","",""
"","01","","","0",".",".",".",".","","","816364.","","","","",""
"","2025/09/10","환전입금","USD","0","277.14","277.",".","0",".","","277.","","","","",""
"","01","","","1416.33",".",".",".",".","","",".","","","","",""
"","2025/09/10","기타가환전차액입금","","0","7139",".",".","0",".","","7139.","","","","",""
"","01","가환전차액입금","USD","1390.57",".",".",".",".","","USD","823503.","","","","",""
"","2025/09/11","해외증권_해외주식매수","US93627C1018","6","350.85","351.",".",".28",".","","351.","","","","",""
"","01","해외주식매수","워리어 멧 콜","58.475",".",".",".",".","신한 SOL증권(Android)","USD","-351.","","","","",""
"","2025/09/11","해외증권_해외주식매도","US9119221029","5","610","351.",".",".49",".","","609.","","","","",""
"","01","해외주식매도","유나이티드 스테이츠","122",".",".",".",".","신한 SOL증권(Android)","USD","258.","","","","",""
"","2025/09/12","해외배당금","USD","0",".96",".",".","0",".","",".","","","","",""
"","01","","유나이티드 스테이?미국달러)","0",".",".",".",".","","","259.","","","","",""
"","2025/09/12","외국납부세액","USD","0",".14",".",".","0",".","",".","","","","",""
"","01","","유나이티드 스테이?미국달러)","0",".",".",".",".","","","259.","","","","",""
"","2025/09/15","해외증권_해외주식매도","US6837121036","31","332.01",".",".",".27",".","","331.","","","","",""
"","01","해외주식매도","오픈도어 테크놀로지","10.71",".",".",".",".","신한 SOL증권(Android)","USD","590.","","","","",""
"","2025/09/15","은행이체출금","","0","823692",".",".","0",".","기업은행","823692.","","","","",""
"","01","출금","현민재　　　　　　　","0",".",".",".",".","28611106301011","현민재",".","","","","",""
"","2025/09/17","해외증권_해외주식매도","US9119221029","8","1032.48",".",".",".83",".","","1031.","","","","",""
"","01","해외주식매도","유나이티드 스테이츠","129.06",".",".",".",".","신한 SOL증권(Android)","USD","1622.","","","","",""
"","2025/09/19","환전출금","USD","0","608.72",".",".","0",".","","608.","","","","",""
"","01","","","1395.41",".",".",".",".","","","1013.","","","","",""
"","2025/09/19","환전입금","KRW","0","849413",".",".","0",".","","849413.","","","","",""
"","01","","","0",".",".",".",".","","","849413.","","","","",""
"","2025/09/19","은행이체출금","","0","849413",".",".","0",".","기업은행","849413.","","","","",""
"","01","출금","현민재　　　　　　　","0",".",".",".",".","28611106301011","현민재",".","","","","",""
"","2025/09/22","해외증권_해외주식매수","US93627C1018","8","516.72",".",".",".41",".","","517.","","","","",""
"","01","해외주식매수","워리어 멧 콜","64.59",".",".",".",".","신한 SOL증권(Android)","USD","496.","","","","",""
"","2025/09/22","해외증권_해외주식매수","US33817P4054","26","496.34",".",".",".4",".","","496.","","","","",""
"","01","해외주식매수","핏라이프 브랜즈","19.09",".",".",".",".","신한 SOL증권(Android)","USD",".","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/09/23","해외증권_해외주식매도","US9119221029","2","255.76",".",".",".2",".","","255.","","","","",""
"","01","해외주식매도","유나이티드 스테이츠","127.88",".",".",".",".","신한 SOL증권(Android)","USD","255.","","","","",""
"","2025/09/24","해외증권_해외주식매도","US88642R1095","52","2841.28",".",".","2.27",".","","2839.","","","","",""
"","01","해외주식매도","타이드워터","54.64",".",".",".",".","신한 SOL증권(Android)","USD","3094.","","","","",""
"","2025/09/24","해외증권_해외주식매도","US9119221029","1","130.01",".",".",".1",".","","129.","","","","",""
"","01","해외주식매도","유나이티드 스테이츠","130.01",".",".",".",".","신한 SOL증권(Android)","USD","3224.","","","","",""
"","2025/09/26","해외증권_해외주식매수","US88642R1095","18","1013.04",".",".",".81",".","","1013.","","","","",""
"","01","해외주식매수","타이드워터","56.28",".",".",".",".","신한 SOL증권(Android)","USD","2210.","","","","",""
"","2025/10/01","해외증권_해외주식매수","US88642R1095","10","537.2",".",".",".43",".","","537.","","","","",""
"","01","해외주식매수","타이드워터","53.72",".",".",".",".","신한 SOL증권(Android)","USD","1673.","","","","",""
"","2025/10/01","해외증권_해외주식매수","US33817P4054","20","398.3",".",".",".32",".","","398.","","","","",""
"","01","해외주식매수","핏라이프 브랜즈","19.915",".",".",".",".","신한 SOL증권(Android)","USD","1274.","","","","",""
"","2025/10/01","해외증권_해외주식매수","US93627C1018","6","381.72",".",".",".31",".","","382.","","","","",""
"","01","해외주식매수","워리어 멧 콜","63.62",".",".",".",".","신한 SOL증권(Android)","USD","892.","","","","",""
"","2025/10/10","해외증권_해외주식매수","KYG399732042","2000","335.626",".",".",".27",".","","335.","","","","",""
"","01","해외주식매수","치어 홀딩스",".167",".",".",".",".","신한 SOL증권(Android)","USD","556.","","","","",""
"","2025/10/10","해외증권_해외주식매도","KYG399732042","2000","374.279",".",".",".3",".","","373.","","","","",""
"","01","해외주식매도","치어 홀딩스",".187",".",".",".",".","신한 SOL증권(Android)","USD","930.","","","","",""
"","2025/10/10","환전출금","USD","0","495.68",".",".","0",".","","495.","","","","",""
"","01","","","1420.23",".",".",".",".","","","434.","","","","",""
"","2025/10/10","환전입금","KRW","0","703979",".",".","0",".","","703979.","","","","",""
"","01","","","0",".",".",".",".","","","703979.","","","","",""
"","2025/10/10","환전출금","KRW","0","703979",".",".","0",".","","703979.","","","","",""
"","01","","","0",".",".",".",".","","",".","","","","",""
"","2025/10/10","환전입금","JPY","0","74999",".",".","0",".","","74999.","","","","",""
"","01","","","938.65",".",".",".",".","","","74999.","","","","",""
"","2025/10/15","해외증권_해외주식매수","JP3637270004","34","56100",".",".","140",".","","56240.","","","","",""
"","01","해외주식매수","트레져팩토리","1650",".",".",".",".","신한 SOL증권(Android)","JPY","18759.","","","","",""
"","2025/10/22","해외증권_해외주식매수","US33817P4054","23","423.315",".",".",".34",".","","423.","","","","",""
"","01","해외주식매수","핏라이프 브랜즈","18.405",".",".",".",".","신한 SOL증권(Android)","USD","11.","","","","",""
"","2025/10/23","은행이체입금","","0","1400000",".",".","0",".","","1400000.","","","","",""
"","01","입금","신한증권오픈뱅킹","0",".",".",".",".","","신한증권오픈뱅킹","1400000.","","","","",""
"","2025/10/27","해외증권_해외주식매수","JP3637270004","10","16710",".",".","42",".","","16752.","","","","",""
"","01","해외주식매수","트레져팩토리","1671",".",".",".",".","신한 SOL증권(Android)","JPY","2007.","","","","",""
"","2025/10/31","해외증권_해외주식매수","US9119221029","7","886.34","875.",".",".71",".","","887.","","","","",""
"","01","해외주식매수","유나이티드 스테이츠","126.62",".",".",".",".","신한 SOL증권(Android)","USD","-875.","","","","",""
"","2025/10/31","해외증권_해외주식매도","US46266A1097","2","158","157.",".",".13",".","","157.","","","","",""
"","01","해외주식매도","아이라디메드","79",".",".",".",".","신한 SOL증권(Android)","USD","-718.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/10/31","해외증권_해외주식매수","US9119221029","1","127.94","128.",".",".1",".","","128.","","","","",""
"","01","해외주식매수","유나이티드 스테이츠","127.94",".",".",".",".","신한 SOL증권(Android)","USD","-846.","","","","",""
"","2025/10/31","환전출금","KRW","0","1235486",".",".","0",".","","1235486.","","","","",""
"","01","","","0",".",".",".",".","","","164983.","","","","",""
"","2025/10/31","환전입금","USD","0","846.13","846.",".","0",".","","846.","","","","",""
"","01","","","1460.16",".",".",".",".","","",".","","","","",""
"","2025/10/31","기타가환전차액입금","","0","25867",".",".","0",".","","25867.","","","","",""
"","01","가환전차액입금","USD","1429.59",".",".",".",".","","USD","190850.","","","","",""
"","2025/11/04","해외배당금","JPY","0","798",".",".","0",".","","798.","","","","",""
"","01","","트레져팩토리(일본엔(100))","0",".",".",".",".","","","2805.","","","","",""
"","2025/11/04","외국납부세액","JPY","0","122",".",".","0",".","","122.","","","","",""
"","01","","트레져팩토리(일본엔(100))","0",".",".",".",".","","","2683.","","","","",""
"","2025/11/07","해외증권_해외주식매수","US9119221029","1","112","112.",".",".09",".","","112.","","","","",""
"","01","해외주식매수","유나이티드 스테이츠","112",".",".",".",".","신한 SOL증권(Android)","USD","-112.","","","","",""
"","2025/11/07","환전출금","KRW","0","165900",".",".","0",".","","165900.","","","","",""
"","01","","","0",".",".",".",".","","","25000.","","","","",""
"","2025/11/07","환전입금","USD","0","112.09","112.",".","0",".","","112.","","","","",""
"","01","","","1480.06",".",".",".",".","","",".","","","","",""
"","2025/11/07","기타가환전차액입금","","0","3515",".",".","0",".","","3515.","","","","",""
"","01","가환전차액입금","USD","1448.7",".",".",".",".","","USD","28515.","","","","",""
"","2025/11/11","해외증권_해외주식매도","US93627C1018","19","1519.81",".",".","1.22",".","","1518.","","","","",""
"","01","해외주식매도","워리어 멧 콜","79.99",".",".",".",".","신한 SOL증권(Android)","USD","1518.","","","","",""
"","2025/11/11","해외증권_해외주식매수","US0846707026","2","997.88",".",".",".8",".","","998.","","","","",""
"","01","해외주식매수","버크셔 해서웨이 B","498.94",".",".",".",".","신한 SOL증권(Android)","USD","519.","","","","",""
"","2025/11/12","환전출금","USD","0","504.41",".",".","0",".","","504.","","","","",""
"","01","","","1462.51",".",".",".",".","","","15.","","","","",""
"","2025/11/12","환전입금","KRW","0","737704",".",".","0",".","","737704.","","","","",""
"","01","","","0",".",".",".",".","","","766225.","","","","",""
"","2025/11/12","환전출금","KRW","0","737704",".",".","0",".","","737704.","","","","",""
"","01","","","0",".",".",".",".","","","28521.","","","","",""
"","2025/11/12","환전입금","JPY","0","76999",".",".","0",".","","76999.","","","","",""
"","01","","","958.06",".",".",".",".","","","79682.","","","","",""
"","2025/11/13","해외증권_해외주식매도","US88642R1095","36","2001.24",".",".","1.6",".","","1999.","","","","",""
"","01","해외주식매도","타이드워터","55.59",".",".",".",".","신한 SOL증권(Android)","USD","2015.","","","","",""
"","2025/11/13","해외증권_해외주식매도","US88642R1095","20","1130.1",".",".",".9",".","","1129.","","","","",""
"","01","해외주식매도","타이드워터","56.505",".",".",".",".","신한 SOL증권(Android)","USD","3144.","","","","",""
"","2025/11/13","해외증권_해외주식매수","US9119221029","4","479.48",".",".",".38",".","","479.","","","","",""
"","01","해외주식매수","유나이티드 스테이츠","119.87",".",".",".",".","신한 SOL증권(Android)","USD","2664.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/11/13","해외증권_해외주식매수","US8085248628","82","1998.34",".",".","1.6",".","","1999.","","","","",""
"","01","해외주식매수","SCHWAB SHORT TERM US","24.37",".",".",".",".","신한 SOL증권(Android)","USD","664.","","","","",""
"","2025/11/14","해외증권_해외주식매수","JP3637270004","20","34200",".",".","86",".","","34286.","","","","",""
"","01","해외주식매수","트레져팩토리","1710",".",".",".",".","신한 SOL증권(Android)","JPY","45396.","","","","",""
"","2025/11/17","해외증권_해외주식매수","US9119221029","4","483.92",".",".",".39",".","","484.","","","","",""
"","01","해외주식매수","유나이티드 스테이츠","120.98",".",".",".",".","신한 SOL증권(Android)","USD","180.","","","","",""
"","2025/11/17","해외증권_해외주식매도","US88642R1095","34","1947.52",".",".","1.56",".","","1945.","","","","",""
"","01","해외주식매도","타이드워터","57.28",".",".",".",".","신한 SOL증권(Android)","USD","2126.","","","","",""
"","2025/11/17","해외배당금","USD","0","2.56",".",".","0",".","","2.","","","","",""
"","01","","워리어 멧 콜(미국달러)","0",".",".",".",".","","","2128.","","","","",""
"","2025/11/17","외국납부세액","USD","0",".39",".",".","0",".","",".","","","","",""
"","01","","워리어 멧 콜(미국달러)","0",".",".",".",".","","","2128.","","","","",""
"","2025/11/17","외화RP매수출금","USD","0","1098.08",".",".","0",".","","1098.","","","","",""
"","01","","","1458.5",".",".",".",".","","","1030.","","","","",""
"","2025/11/18","해외증권_해외주식매수","US0846707026","2","1029.46",".",".",".82",".","","1030.","","","","",""
"","01","해외주식매수","버크셔 해서웨이 B","514.73",".",".",".",".","신한 SOL증권(Android)","USD",".","","","","",""
"","2025/11/19","해외증권_해외주식매수","JP3637270004","21","34125",".",".","85",".","","34210.","","","","",""
"","01","해외주식매수","트레져팩토리","1625",".",".",".",".","신한 SOL증권(Android)","JPY","11186.","","","","",""
"","2025/11/26","외화RP매도입금","USD","0","1098.98",".",".","0",".","","1098.","","","","",""
"","01","","","1473.5",".",".",".",".","","","1098.","","","","",""
"","2025/11/26","환전출금","USD","0",".12",".",".","0",".","",".","","","","",""
"","01","","","1473.5",".",".",".",".","","","1098.","","","","",""
"","2025/11/26","환전입금","KRW","0","190",".",".","0",".","","190.","","","","",""
"","01","","","0",".",".",".",".","","","28727.","","","","",""
"","2025/11/26","외화RP원천징수","3500","0","190",".",".","0",".","","190.","","","","",""
"","01","","USD RP 자동매수전용상품","0",".",".",".","190.","","","28537.","","","","",""
"","2025/11/26","환전출금","USD","0","650",".",".","0",".","","650.","","","","",""
"","01","","","1459.36",".",".",".",".","","","448.","","","","",""
"","2025/11/26","환전입금","KRW","0","948584",".",".","0",".","","948584.","","","","",""
"","01","","","0",".",".",".",".","","","977121.","","","","",""
"","2025/11/26","환전출금","KRW","0","948584",".",".","0",".","","948584.","","","","",""
"","01","","","0",".",".",".",".","","","28537.","","","","",""
"","2025/11/26","환전입금","JPY","0","100220",".",".","0",".","","100220.","","","","",""
"","01","","","946.5",".",".",".",".","","","111406.","","","","",""
"","2025/11/26","외화RP매수출금","USD","0","448.86",".",".","0",".","","448.","","","","",""
"","01","","","1473.5",".",".",".",".","","",".","","","","",""
