Date,Anchor_Asset,External_Flow,Calculated_Asset,Prev_Asset,Daily_Return,Cumulative_TWR,Invested_Principal,Simple_Return,Peak,Drawdown
2025-02-21,,0.0,12207065.0,12242493.0,-0.0028938550342646474,-0.08099242681510477,13392620.0,-0.08852300744738517,15892620.0,-0.2319035502012884
2025-02-22,,0.0,12171637.0,12207065.0,-0.0029022537358488476,-0.08365961997765403,13392620.0,-0.09116834495416137,15892620.0,-0.23413276099220895
2025-02-23,,0.0,12136208.0,12171637.0,-0.0029107834878743244,-0.0863268884250955,13392620.0,-0.09381375712892626,15892620.0,-0.23636203470541672
2025-02-24,,0.0,12100780.0,12136208.0,-0.0029191984844030294,-0.08899408158764477,13392620.0,-0.09645909463570235,15892620.0,-0.23859124549633728
2025-02-25,,0.0,12065352.0,12100780.0,-0.0029277451536181553,-0.09166127475019403,13392620.0,-0.09910443214247844,15892620.0,-0.24082045628725787
2025-02-26,,0.0,12029924.0,12065352.0,-0.0029363420147211494,-0.0943284679127433,13392620.0,-0.10174976964925464,15892620.0,-0.24304966707817843
2025-02-27,,0.0,11994495.0,12029924.0,-0.002945072637200341,-0.09699573636018477,13392620.0,-0.10439518182401952,15892620.0,-0.24527894079138618
2025-02-28,11959067.0,0.0,11959067.0,11994495.0,-0.0029536883378583623,-0.09966292952273403,13392620.0,-0.10704051933079561,15892620.0,-0.24750815158230677
2025-03-01,,0.0,11951214.0,11959067.0,-0.0006566565769721144,-0.10025414178155478,13392620.0,-0.10762688704674661,15892620.0,-0.24800228030368812
2025-03-02,,0.0,11943361.0,11951214.0,-0.0006570880581671101,-0.10084535404037542,13392620.0,-0.10821325476269772,15892620.0,-0.2484964090250695
2025-03-03,,0.0,11935508.0,11943361.0,-0.0006575201067773317,-0.10143656629919617,13392620.0,-0.10879962247864872,15892620.0,-0.24899053774645086
2025-03-04,,2.0,11927658.0,11935508.0,-0.0006578688300709068,-0.1020277031740694,13392622.0,-0.10938589919136077,15892620.0,-0.24948447770097065
2025-03-05,,32873.0,11952678.0,11927658.0,-0.0006565762005048548,-0.10261729041287804,13425495.0,-0.1097029941912756,15892620.0,-0.24791016207522737
2025-03-06,,0.0,11944825.0,11952678.0,-0.0006570075760428118,-0.10320687765168657,13425495.0,-0.11028792606902016,15892620.0,-0.24840429079660875
2025-03-07,,0.0,11936972.0,11944825.0,-0.0006574395187873838,-0.1037964648904951,13425495.0,-0.11087285794676471,15892620.0,-0.2488984195179901
2025-03-08,,0.0,11929119.0,11936972.0,-0.0006578720298581198,-0.10438605212930363,13425495.0,-0.11145778982450927,15892620.0,-0.2493925482393715
2025-03-09,,0.0,11921266.0,11929119.0,-0.0006583051103773441,-0.10497563936811216,13425495.0,-0.11204272170225382,15892620.0,-0.24988667696075284
2025-03-10,,0.0,11913414.0,11921266.0,-0.000658654877762177,-0.10556515152895829,13425495.0,-0.112627579094849,15892620.0,-0.250380742759847
2025-03-11,,0.0,11905561.0,11913414.0,-0.0006591729289353587,-0.10615473876776682,13425495.0,-0.11321251097259355,15892620.0,-0.2508748714812284
2025-03-12,,0.0,11897708.0,11905561.0,-0.0006596077244911402,-0.10674432600657535,13425495.0,-0.1137974428503381,15892620.0,-0.25136900020260977
2025-03-13,,0.0,11889855.0,11897708.0,-0.0006600430940144619,-0.107333913245384,13425495.0,-0.11438237472808266,15892620.0,-0.25186312892399115
2025-03-14,,0.0,11882002.0,11889855.0,-0.0006604790386426362,-0.10792350048419252,13425495.0,-0.11496730660582721,15892620.0,-0.2523572576453725
2025-03-15,,0.0,11874149.0,11882002.0,-0.0006609155595159732,-0.10851308772300106,13425495.0,-0.11555223848357177,15892620.0,-0.25285138636675386
2025-03-16,,0.0,11866297.0,11874149.0,-0.0006612684412162784,-0.10910259988384718,13425495.0,-0.11613709587616694,15892620.0,-0.25334545216584803
2025-03-17,,0.0,11858444.0,11866297.0,-0.0006617902788038643,-0.10969218712265572,13425495.0,-0.1167220277539115,15892620.0,-0.2538395808872294
2025-03-18,,0.0,11850591.0,11858444.0,-0.000662228535210807,-0.11028177436146425,13425495.0,-0.11730695963165605,15892620.0,-0.2543337096086108
2025-03-19,,0.0,11842738.0,11850591.0,-0.0006626673724542398,-0.11087136160027278,13425495.0,-0.1178918915094006,15892620.0,-0.2548278383299922
2025-03-20,,0.0,11834885.0,11842738.0,-0.0006631067916895717,-0.11146094883908131,13425495.0,-0.11847682338714516,15892620.0,-0.25532196705137356
2025-03-21,,0.0,11827032.0,11834885.0,-0.0006635467940753204,-0.11205053607788984,13425495.0,-0.11906175526488971,15892620.0,-0.2558160957727549
2025-03-22,,0.0,11819180.0,11827032.0,-0.0006639028287063198,-0.11264004823873597,13425495.0,-0.11964661265748489,15892620.0,-0.25631016157184905
2025-03-23,,0.0,11811327.0,11819180.0,-0.0006644284967315395,-0.1132296354775445,13425495.0,-0.12023154453522944,15892620.0,-0.25680429029323043
2025-03-24,,300000.0,12103474.0,11811327.0,-0.000648401285837652,-0.11380461852214363,13725495.0,-0.11817577435276472,15892620.0,-0.23842173285462057
2025-03-25,,0.0,12095621.0,12103474.0,-0.0006488219828455488,-0.11437960156674265,13725495.0,-0.11874792129537037,15892620.0,-0.23891586157600195
2025-03-26,,0.0,12087768.0,12095621.0,-0.0006492432261229197,-0.11495458461134167,13725495.0,-0.11932006823797614,15892620.0,-0.2394099902973833
2025-03-27,,0.0,12079915.0,12087768.0,-0.0006496650167342466,-0.11552956765594069,13725495.0,-0.1198922151805818,15892620.0,-0.23990411901876468
2025-03-28,,0.0,12072063.0,12079915.0,-0.0006500045737076743,-0.11610447748227348,13725495.0,-0.12046428926607022,15892620.0,-0.24039818481785885
2025-03-29,,0.0,12064210.0,12072063.0,-0.0006505101903461208,-0.11667946052687261,13725495.0,-0.12103643620867588,15892620.0,-0.24089231353924023
2025-03-30,,0.0,12056357.0,12064210.0,-0.0006509336293052392,-0.11725444357147174,13725495.0,-0.12160858315128165,15892620.0,-0.2413864422606216
2025-03-31,12048504.0,0.0,12048504.0,12056357.0,-0.0006513576198846627,-0.11782942661607076,13725495.0,-0.1221807300938873,15892620.0,-0.24188057098200297
2025-04-01,,0.0,12032458.0,12048504.0,-0.0013317835973660763,-0.11900428691578246,13725495.0,-0.12334979539900015,15892620.0,-0.2428902220024137
2025-04-02,,0.0,12016412.0,12032458.0,-0.001333559610181112,-0.12017914721549428,13725495.0,-0.124518860704113,15892620.0,-0.24389987302282443
2025-04-03,,0.0,12000367.0,12016412.0,-0.001335257146642399,-0.12135393429693975,13725495.0,-0.1256878531521085,15892620.0,-0.24490946112094797
2025-04-04,,0.0,11984321.0,12000367.0,-0.001337125772903458,-0.12252879459665156,13725495.0,-0.12685691845722136,15892620.0,-0.2459191121413587
2025-04-05,,0.0,11968275.0,11984321.0,-0.0013389160720912452,-0.12370365489636337,13725495.0,-0.1280259837623342,15892620.0,-0.24692876316176943
2025-04-06,,0.0,11952229.0,11968275.0,-0.0013407111718272136,-0.12487851519607518,13725495.0,-0.12919504906744717,15892620.0,-0.24793841418218016
2025-04-07,,0.0,11936183.0,11952229.0,-0.001342511091445786,-0.126053375495787,13725495.0,-0.13036411437256,15892620.0,-0.24894806520259088
2025-04-08,,1400000.0,13320138.0,11936183.0,-0.001203117863634584,-0.1271048362915912,15125495.0,-0.11935854000150081,15892620.0,-0.1618664512207553
2025-04-09,,0.0,13304092.0,13320138.0,-0.0012046421741276347,-0.12815636261938634,15125495.0,-0.12041939784450029,15892620.0,-0.16287610224116603
2025-04-10,,0.0,13288046.0,13304092.0,-0.0012060950871356502,-0.1292078889471816,15125495.0,-0.12148025568749976,15892620.0,-0.16388575326157676
2025-04-11,,0.0,13272000.0,13288046.0,-0.001207551509078142,-0.13025941527497675,15125495.0,-0.12254111353049935,15892620.0,-0.16489540428198748
2025-04-12,,0.0,13255954.0,13272000.0,-0.0012090114526823736,-0.131310941602772,15125495.0,-0.12360197137349882,15892620.0,-0.1659050553023982
2025-04-13,,0.0,13239909.0,13255954.0,-0.0012103994929373307,-0.13236240239857622,15125495.0,-0.12466276310295965,15892620.0,-0.16691464340052176
2025-04-14,,0.0,13223863.0,13239909.0,-0.0012119418645550883,-0.13341392872637137,15125495.0,-0.12572362094595912,15892620.0,-0.16792429442093249
2025-04-15,,0.0,13207817.0,13223863.0,-0.0012134124499021404,-0.13446545505416652,15125495.0,-0.1267844787889586,15892620.0,-0.16893394544134321
2025-04-16,,0.0,13191771.0,13207817.0,-0.0012148866084380483,-0.13551698138196178,15125495.0,-0.12784533663195818,15892620.0,-0.16994359646175394
2025-04-17,,0.0,13175725.0,13191771.0,-0.0012163643532017154,-0.13656850770975693,15125495.0,-0.12890619447495766,15892620.0,-0.17095324748216467
2025-04-18,,0.0,13159680.0,13175725.0,-0.0012177698001438753,-0.13761996850556113,15125495.0,-0.1299669862044185,15892620.0,-0.17196283558028821
2025-04-19,,0.0,13143634.0,13159680.0,-0.0012193305612294703,-0.13867149483335628,15125495.0,-0.13102784404741796,15892620.0,-0.17297248660069894
2025-04-20,,0.0,13127588.0,13143634.0,-0.0012208191433206173,-0.13972302116115143,15125495.0,-0.13208870189041744,15892620.0,-0.17398213762110967
2025-04-21,,0.0,13111542.0,13127588.0,-0.0012223113644334038,-0.14077454748894658,15125495.0,-0.13314955973341702,15892620.0,-0.1749917886415204
2025-04-22,,5107.0,13100603.0,13111542.0,-0.0012233307455280507,-0.14182566440234357,15130602.0,-0.13416511781884155,15892620.0,-0.1756800955412009
2025-04-23,,10552.0,13095110.0,13100603.0,-0.001223767089932215,-0.14287586991167245,15141154.0,-0.1351313116556373,15892620.0,-0.17602572766479033
2025-04-24,,0.0,13079064.0,13095110.0,-0.0012253428951722878,-0.14392614087475686,15141154.0,-0.13619107235815708,15892620.0,-0.17703537868520106
2025-04-25,,0.0,13063018.0,13079064.0,-0.0012268462024499494,-0.14497641183784138,15141154.0,-0.13725083306067687,15892620.0,-0.17804502970561178
2025-04-26,,0.0,13046972.0,13063018.0,-0.001228353202912258,-0.1460266828009259,15141154.0,-0.13831059376319665,15892620.0,-0.1790546807260225
2025-04-27,,0.0,13030926.0,13046972.0,-0.0012298639101854247,-0.14707695376401042,15141154.0,-0.13937035446571644,15892620.0,-0.18006433174643324
