Date,466940.KS,TDW,ADMA,TW,LEN,BMI,USLM,LW,FTLF,HMY,EVR,K.TO,IRMD,OPEN,SCHO,NICE,HCC,IGIC,PBR-A,AM,SM,ARIS.TO,ACGL,AMRZ,PL,CPRX,BRK-B,TIMB,3093.T,INVE,FIX,ITRN,494670.KS,Cash
2025-10-23,0.0,17358075.32615038,130881.60223388672,0.0,0.0,0.0,0.0,0.0,3444203.1127895527,0.0,0.0,0.0,220465.79482736252,0.0,0.0,0.0,2861882.1031434685,0.0,0.0,0.0,0.0,0.0,0.0,1371010.4640742298,0.0,0.0,0.0,0.0,1181558.9154382353,0.0,0.0,0.0,0.0,1320441.681342885
2025-10-24,0.0,16709099.881996473,130776.30671601556,0.0,0.0,0.0,0.0,0.0,3491675.490854007,0.0,0.0,0.0,222780.57442822866,0.0,0.0,0.0,2946074.38986969,0.0,0.0,0.0,0.0,0.0,0.0,1409492.6442307048,0.0,0.0,0.0,0.0,1173226.7051815777,0.0,0.0,0.0,0.0,1179763.0067233033
2025-10-25,0.0,16709099.881996473,130776.30671601556,0.0,0.0,0.0,0.0,0.0,3491675.490854007,0.0,0.0,0.0,222780.57442822866,0.0,0.0,0.0,2946074.38986969,0.0,0.0,0.0,0.0,0.0,0.0,1409492.6442307048,0.0,0.0,0.0,0.0,1173226.7051815777,0.0,0.0,0.0,0.0,1033451.0067233033
2025-10-26,0.0,16709099.881996473,130776.30671601556,0.0,0.0,0.0,0.0,0.0,3491675.490854007,0.0,0.0,0.0,222780.57442822866,0.0,0.0,0.0,2946074.38986969,0.0,0.0,0.0,0.0,0.0,0.0,1409492.6442307048,0.0,0.0,0.0,0.0,1173226.7051815777,0.0,0.0,0.0,0.0,887139.0067233033
2025-10-27,0.0,16508600.872516148,134500.39254677575,0.0,0.0,0.0,0.0,0.0,3487181.2875444526,0.0,0.0,0.0,220853.33413174376,0.0,0.0,0.0,2954353.7773033977,0.0,0.0,0.0,0.0,0.0,0.0,1419423.571024239,0.0,0.0,0.0,0.0,1364585.4218112007,0.0,0.0,0.0,0.0,726397.3431220427
2025-10-28,0.0,16436292.18152909,133681.21204290166,0.0,0.0,0.0,0.0,0.0,3569983.745350482,0.0,0.0,0.0,225759.79325267673,0.0,0.0,0.0,2944301.4163972735,0.0,0.0,0.0,0.0,0.0,0.0,1429365.9812309593,0.0,0.0,0.0,0.0,1332601.5971999452,0.0,0.0,0.0,0.0,581412.0729966685
2025-10-29,0.0,16624528.819947682,132871.8795854668,0.0,0.0,0.0,0.0,0.0,3455096.6373668443,0.0,0.0,0.0,220798.03362603858,0.0,0.0,0.0,2922182.539814174,0.0,0.0,0.0,0.0,0.0,0.0,1492427.403888218,0.0,0.0,0.0,0.0,1314832.6715745502,0.0,0.0,0.0,0.0,434152.0141970217
2025-10-30,0.0,16951186.85313152,130467.80100588687,0.0,0.0,0.0,0.0,0.0,3470084.5795753878,0.0,0.0,0.0,215172.96221811324,0.0,0.0,0.0,2928163.3445999026,0.0,0.0,0.0,0.0,0.0,0.0,1465560.1126239635,0.0,0.0,0.0,0.0,1319592.935209566,0.0,0.0,0.0,0.0,282672.4116356559
2025-10-31,0.0,17001716.8292683,132262.9755028747,0.0,0.0,0.0,1333201.0220527053,0.0,3430635.260033855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3082680.712749481,0.0,0.0,0.0,0.0,0.0,0.0,1461904.327761121,0.0,0.0,0.0,0.0,1316623.643208146,0.0,0.0,0.0,0.0,129990.2294235155
2025-11-01,0.0,17001716.8292683,132262.9755028747,0.0,0.0,0.0,1333201.0220527053,0.0,3430635.260033855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3082680.712749481,0.0,0.0,0.0,0.0,0.0,0.0,1461904.327761121,0.0,0.0,0.0,0.0,1316623.643208146,0.0,0.0,0.0,0.0,178794.2294235155
2025-11-02,0.0,17001716.8292683,132262.9755028747,0.0,0.0,0.0,1333201.0220527053,0.0,3430635.260033855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3082680.712749481,0.0,0.0,0.0,0.0,0.0,0.0,1461904.327761121,0.0,0.0,0.0,0.0,1316623.643208146,0.0,0.0,0.0,0.0,227598.2294235155
2025-11-03,0.0,17470444.842594467,131613.62047267682,0.0,0.0,0.0,1287705.8966644928,0.0,3472390.251085512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3164642.9528116584,0.0,0.0,0.0,0.0,0.0,0.0,1444788.9607483614,0.0,0.0,0.0,0.0,1319606.0975311382,0.0,0.0,0.0,0.0,265287.3780916929
2025-11-04,0.0,17148496.51583723,125434.98500951612,0.0,0.0,0.0,1267530.989323631,0.0,3573996.8624092927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2955689.3718557954,0.0,0.0,0.0,0.0,0.0,0.0,1442366.45515671,0.0,0.0,0.0,0.0,1338279.3625987014,0.0,0.0,0.0,0.0,327318.4578091204
2025-11-05,0.0,17397513.159243144,132779.28261487652,0.0,0.0,0.0,1306125.399506539,0.0,3555754.9899078626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3035081.9912899733,0.0,0.0,0.0,0.0,0.0,0.0,1449316.3728691638,0.0,0.0,0.0,0.0,1361360.9015888907,0.0,0.0,0.0,0.0,370401.902979549
2025-11-06,0.0,17311721.8498067,121197.31007121736,0.0,0.0,0.0,1314226.192548126,0.0,3401385.726928711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3735091.8675363064,0.0,0.0,0.0,0.0,0.0,0.0,1417597.968463786,0.0,0.0,0.0,0.0,1314673.901979487,0.0,0.0,0.0,0.0,398382.1826656647
2025-11-07,0.0,18076163.586194467,126141.05410372932,0.0,0.0,0.0,1505227.9817047147,0.0,3349514.111828249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3754874.1996417046,0.0,0.0,0.0,0.0,0.0,0.0,1417603.838737812,0.0,0.0,0.0,0.0,1351769.9206623216,0.0,0.0,0.0,0.0,436936.3071270026
